season,fase,instancia,fecha,hora_inicio,hora_fin,local,visitante,marcador,global,estadio,ciudad,pais,arbitro_principal,arbitros_linea,entrenador_local,entrenador_visitante,planteles,puntuaciones_jugadores,tiros_totales,tiros_totales_local,tiros_totales_visitante,tiros_puerta,tiros_puerta_local,tiros_puerta_visitante,goles,asistencias,cambios,amarillas,rojas,posesion_local,posesion_visitante,faltas_total,faltas_local,faltas_visitante,corners_total,corners_local,corners_visitante
2015-2016,Semifinal,Vuelta,04-05-2016,NULL,NULL,Real Madrid,Manchester City,1-0,1-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Manuel Pellegrini,NULL,NULL,,,,,,,Bale (OG) 20',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Semifinal,Ida,27-04-2016,NULL,NULL,Atletico Madrid,Bayern Munich,1-0,2-2,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Pep Guardiola,NULL,NULL,,,,,,,Saul 11',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Semifinal,Vuelta,03-05-2016,NULL,NULL,Bayern Munich,Atletico Madrid,2-1,2-2,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Diego Simeone,NULL,NULL,,,,,,,Alaba 31'; Lewandowski 74'; Griezmann 54',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Final,Final,28-05-2016,NULL,NULL,Real Madrid,Atletico Madrid,1-1 (P),NULL,San Siro,Milán,Italia,NULL,NULL,Zinedine Zidane,Diego Simeone,NULL,NULL,42,25,17,12,8,4,NULL,NULL,NULL,NULL,NULL,48%,52%,34,18,16,13,7,6
2016-2017,Octavos,Ida,14-02-2017,NULL,NULL,PSG,Barcelona,4-0,5-6,Parc des Princes,Paris,Francia,NULL,NULL,Unai Emery,Luis Enrique,NULL,NULL,23,16,7,11,10,1,NULL,NULL,NULL,NULL,NULL,43%,57%,26,14,12,6,2,4
2016-2017,Octavos,Vuelta,08-03-2017,NULL,NULL,Barcelona,PSG,6-1,6-5,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Unai Emery,NULL,NULL,28,20,8,13,10,3,NULL,NULL,NULL,NULL,NULL,71%,29%,41,16,25,10,6,4
2016-2017,Octavos,Ida,15-02-2017,NULL,NULL,Benfica,Borussia Dortmund,1-0,1-4,Estadio da Luz,Lisboa,Portugal,NULL,NULL,Rui Vitoria,Thomas Tuchel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mitroglou 48',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,08-03-2017,NULL,NULL,Borussia Dortmund,Benfica,4-0,4-1,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Thomas Tuchel,Rui Vitoria,NULL,NULL,19,13,6,8,6,2,NULL,NULL,NULL,NULL,NULL,55%,45%,30,13,17,10,5,5
2016-2017,Octavos,Ida,14-02-2017,NULL,NULL,Bayern Munich,Arsenal,5-1,10-2,Allianz Arena,Munich,Alemania,NULL,NULL,Carlo Ancelotti,Arsene Wenger,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Robben 11'; Lewandowski 53'; Thiago 56'; 63'; Muller 88'; Sanchez 30',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,07-03-2017,NULL,NULL,Arsenal,Bayern Munich,1-5,2-10,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Carlo Ancelotti,NULL,NULL,26,10,16,10,3,7,NULL,NULL,NULL,NULL,NULL,43%,57%,23,13,10,13,5,8
2016-2017,Octavos,Ida,15-02-2017,NULL,NULL,Real Madrid,Napoli,3-1,6-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Maurizio Sarri,NULL,NULL,28,20,8,8,6,2,NULL,NULL,NULL,NULL,NULL,50%,50%,21,9,12,6,5,1
2016-2017,Octavos,Vuelta,07-03-2017,NULL,NULL,Napoli,Real Madrid,1-3,2-6,San Paolo,Napoles,Italia,NULL,NULL,Maurizio Sarri,Zinedine Zidane,NULL,NULL,26,13,13,8,3,5,NULL,NULL,NULL,NULL,NULL,55%,45%,25,17,8,13,9,4
2016-2017,Octavos,Ida,21-02-2017,NULL,NULL,Manchester City,Monaco,5-3,6-6,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Pep Guardiola,Leonardo Jardim,NULL,NULL,25,10,15,12,6,6,NULL,NULL,NULL,NULL,NULL,67%,33%,27,12,15,11,5,6
2016-2017,Octavos,Vuelta,15-03-2017,NULL,NULL,Monaco,Manchester City,3-1,6-6,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Pep Guardiola,NULL,NULL,14,8,6,7,4,3,NULL,NULL,NULL,NULL,NULL,41%,59%,26,12,14,9,3,6
2016-2017,Octavos,Ida,21-02-2017,NULL,NULL,Bayer Leverkusen,Atletico Madrid,2-4,2-8,BayArena,Leverkusen,Alemania,NULL,NULL,Tayfun Korkut,Diego Simeone,NULL,NULL,25,14,11,11,4,7,NULL,NULL,NULL,NULL,NULL,62%,38%,23,14,9,10,6,4
2016-2017,Octavos,Vuelta,15-03-2017,NULL,NULL,Atletico Madrid,Bayer Leverkusen,0-0,8-2,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Tayfun Korkut,NULL,NULL,31,13,18,11,4,7,NULL,NULL,NULL,NULL,NULL,44%,56%,14,6,8,11,7,4
2016-2017,Octavos,Ida,22-02-2017,NULL,NULL,Porto,Juventus,0-2,0-3,Estadio do Dragao,Porto,Portugal,NULL,NULL,Nuno Espirito Santo,Massimiliano Allegri,NULL,NULL,22,3,19,4,0,4,NULL,NULL,NULL,NULL,NULL,24%,76%,25,12,13,9,1,8
2016-2017,Octavos,Vuelta,14-03-2017,NULL,NULL,Juventus,Porto,1-0,3-0,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Nuno Espirito Santo,NULL,NULL,24,15,9,5,3,2,NULL,NULL,NULL,NULL,NULL,66%,34%,24,13,11,5,4,1
2016-2017,Octavos,Ida,22-02-2017,NULL,NULL,Sevilla,Leicester City,2-1,2-3,Ramon Sanchez Pizjuan,Sevilla,España,NULL,NULL,Jorge Sampaoli,Claudio Ranieri,NULL,NULL,29,22,7,9,7,2,NULL,NULL,NULL,NULL,NULL,72%,28%,15,6,9,9,8,1
2016-2017,Octavos,Vuelta,14-03-2017,NULL,NULL,Leicester City,Sevilla,2-0,3-2,King Power Stadium,Leicester,Inglaterra,NULL,NULL,Craig Shakespeare,Jorge Sampaoli,NULL,NULL,24,13,11,7,4,3,NULL,NULL,NULL,NULL,NULL,29%,71%,20,10,10,12,2,10
2016-2017,Cuartos,Ida,11-04-2017,NULL,NULL,Juventus,Barcelona,3-0,3-0,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Luis Enrique,NULL,NULL,30,14,16,12,8,4,NULL,NULL,NULL,NULL,NULL,32%,68%,39,21,18,13,5,8
2016-2017,Cuartos,Vuelta,19-04-2017,NULL,NULL,Barcelona,Juventus,0-0,0-3,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Massimiliano Allegri,NULL,NULL,31,19,12,5,1,4,NULL,NULL,NULL,NULL,NULL,65%,35%,29,10,19,17,13,4
2016-2017,Cuartos,Ida,11-04-2017,NULL,NULL,Borussia Dortmund,Monaco,2-3,3-6,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Thomas Tuchel,Leonardo Jardim,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dembélé 57'; Kagawa 84'; Mbappe 19'; 79'; Bender OG 35',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Cuartos,Vuelta,19-04-2017,NULL,NULL,Monaco,Borussia Dortmund,3-1,6-3,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Thomas Tuchel,NULL,NULL,28,16,12,15,8,7,NULL,NULL,NULL,NULL,NULL,30%,70%,23,15,8,8,5,3
2016-2017,Cuartos,Ida,12-04-2017,NULL,NULL,Atletico Madrid,Leicester City,1-0,2-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Craig Shakespeare,NULL,NULL,21,14,7,3,3,0,NULL,NULL,NULL,NULL,NULL,68%,32%,26,10,16,9,8,1
2016-2017,Cuartos,Vuelta,18-04-2017,NULL,NULL,Leicester City,Atletico Madrid,1-1,1-2,King Power Stadium,Leicester,Inglaterra,NULL,NULL,Craig Shakespeare,Diego Simeone,NULL,NULL,29,23,6,9,6,3,NULL,NULL,NULL,NULL,NULL,56%,44%,16,9,7,8,7,1
2016-2017,Cuartos,Ida,12-04-2017,NULL,NULL,Bayern Munich,Real Madrid,1-2,3-6,Allianz Arena,Munich,Alemania,NULL,NULL,Carlo Ancelotti,Zinedine Zidane,NULL,NULL,36,13,23,15,3,12,NULL,NULL,NULL,NULL,NULL,48%,52%,18,11,7,12,8,4
2016-2017,Cuartos,Vuelta,18-04-2017,NULL,NULL,Real Madrid,Bayern Munich,4-2 (AET),6-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Carlo Ancelotti,NULL,NULL,50,30,20,13,11,2,NULL,NULL,NULL,NULL,NULL,48%,52%,29,7,22,17,7,10
2016-2017,Semifinal,Ida,02-05-2017,NULL,NULL,Real Madrid,Atletico Madrid,3-0,4-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Diego Simeone,NULL,NULL,21,17,4,8,7,1,NULL,NULL,NULL,NULL,NULL,62%,38%,25,10,15,12,9,3
2016-2017,Semifinal,Vuelta,10-05-2017,NULL,NULL,Atletico Madrid,Real Madrid,2-1,2-4,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Zinedine Zidane,NULL,NULL,38,18,20,13,7,6,NULL,NULL,NULL,NULL,NULL,36%,64%,30,23,7,15,7,8
2016-2017,Semifinal,Ida,03-05-2017,NULL,NULL,Monaco,Juventus,0-2,1-4,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Massimiliano Allegri,NULL,NULL,24,14,10,9,5,4,NULL,NULL,NULL,NULL,NULL,50%,50%,24,11,13,10,7,3
2016-2017,Semifinal,Vuelta,09-05-2017,NULL,NULL,Juventus,Monaco,2-1,4-1,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Leonardo Jardim,NULL,NULL,26,15,11,8,6,2,NULL,NULL,NULL,NULL,NULL,52%,48%,32,11,21,14,6,8
2016-2017,Final,Final,03-06-2017,NULL,NULL,Juventus,Real Madrid,1-4,NULL,Millennium Stadium,Cardiff,Gales,NULL,NULL,Massimiliano Allegri,Zinedine Zidane,NULL,NULL,27,9,18,9,4,5,NULL,NULL,NULL,NULL,NULL,44%,56%,41,23,18,2,1,1
2017-2018,Octavos,Ida,13-02-2018,NULL,NULL,Juventus,Tottenham,2-2,3-4,Allianz Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Mauricio Pochettino,NULL,NULL,21,9,12,11,5,6,NULL,NULL,NULL,NULL,NULL,34%,66%,29,16,13,10,5,5
2017-2018,Octavos,Vuelta,07-03-2018,NULL,NULL,Tottenham,Juventus,1-2,4-3,Wembley,Londres,Inglaterra,NULL,NULL,Mauricio Pochettino,Massimiliano Allegri,NULL,NULL,31,23,8,9,6,3,NULL,NULL,NULL,NULL,NULL,54%,46%,32,20,12,7,6,1
2017-2018,Octavos,Ida,13-02-2018,NULL,NULL,Basel,Manchester City,0-4,1-5,St. Jakob-Park,Basilea,Suiza,NULL,NULL,Raphael Wicky,Pep Guardiola,NULL,NULL,22,10,12,10,3,7,NULL,NULL,NULL,NULL,NULL,26%,74%,14,9,5,9,3,6
2017-2018,Octavos,Vuelta,07-03-2018,NULL,NULL,Manchester City,Basel,1-2,5-2,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Pep Guardiola,Raphael Wicky,NULL,NULL,13,7,6,6,3,3,NULL,NULL,NULL,NULL,NULL,78%,22%,16,5,11,5,5,0
2017-2018,Octavos,Ida,14-02-2018,NULL,NULL,Porto,Liverpool,0-5,0-5,Estadio do Dragao,Porto,Portugal,NULL,NULL,Sergio Conceicao,Jurgen Klopp,NULL,NULL,22,8,14,9,3,6,NULL,NULL,NULL,NULL,NULL,45%,55%,19,9,10,7,6,1
2017-2018,Octavos,Vuelta,06-03-2018,NULL,NULL,Liverpool,Porto,0-0,5-0,Anfield,Liverpool,Inglaterra,NULL,NULL,Jurgen Klopp,Sergio Conceicao,NULL,NULL,22,12,10,6,5,1,NULL,NULL,NULL,NULL,NULL,66%,34%,24,11,13,4,1,3
2017-2018,Octavos,Ida,14-02-2018,NULL,NULL,Real Madrid,PSG,3-1,5-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Unai Emery,NULL,NULL,29,17,12,12,8,4,NULL,NULL,NULL,NULL,NULL,50%,50%,30,14,16,15,11,4
2017-2018,Octavos,Vuelta,06-03-2018,NULL,NULL,PSG,Real Madrid,1-2,2-5,Parc des Princes,Paris,Francia,NULL,NULL,Unai Emery,Zinedine Zidane,NULL,NULL,30,8,22,10,4,6,NULL,NULL,NULL,NULL,NULL,50%,50%,21,10,11,15,7,8
2017-2018,Octavos,Ida,20-02-2018,NULL,NULL,Chelsea,Barcelona,1-1,1-4,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Antonio Conte,Ernesto Valverde,NULL,NULL,18,11,7,4,2,2,NULL,NULL,NULL,NULL,NULL,27%,73%,30,17,13,7,3,4
2017-2018,Octavos,Vuelta,14-03-2018,NULL,NULL,Barcelona,Chelsea,3-0,4-1,Camp Nou,Barcelona,España,NULL,NULL,Ernesto Valverde,Antonio Conte,NULL,NULL,22,8,14,10,7,3,NULL,NULL,NULL,NULL,NULL,56%,44%,28,11,17,10,4,6
2017-2018,Octavos,Ida,20-02-2018,NULL,NULL,Bayern Munich,Besiktas,5-0,8-1,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Senol Gunes,NULL,NULL,41,35,6,13,12,1,NULL,NULL,NULL,NULL,NULL,69%,31%,30,16,14,9,6,3
2017-2018,Octavos,Vuelta,14-03-2018,NULL,NULL,Besiktas,Bayern Munich,1-3,1-8,Vodafone Park,Estambul,Turquia,NULL,NULL,Senol Gunes,Jupp Heynckes,NULL,NULL,29,17,12,10,5,5,NULL,NULL,NULL,NULL,NULL,49%,51%,32,18,14,8,4,4
2017-2018,Octavos,Ida,21-02-2018,NULL,NULL,Shakhtar,Roma,2-1,2-2,Metalist Stadium,Kharkiv,Ucrania,NULL,NULL,Paulo Fonseca,Eusebio Di Francesco,NULL,NULL,30,15,15,17,9,8,NULL,NULL,NULL,NULL,NULL,52%,48%,20,11,9,17,8,9
2017-2018,Octavos,Vuelta,13-03-2018,NULL,NULL,Roma,Shakhtar,1-0,2-2,Stadio Olimpico,Roma,Italia,NULL,NULL,Eusebio Di Francesco,Paulo Fonseca,NULL,NULL,15,10,5,3,3,0,NULL,NULL,NULL,NULL,NULL,37%,63%,25,14,11,8,2,6
2017-2018,Octavos,Ida,21-02-2018,NULL,NULL,Sevilla,Manchester United,0-0,1-2,Ramon Sanchez Pizjuan,Sevilla,España,NULL,NULL,Vincenzo Montella,Jose Mourinho,NULL,NULL,31,25,6,9,8,1,NULL,NULL,NULL,NULL,NULL,57%,43%,34,12,22,16,12,4
2017-2018,Octavos,Vuelta,13-03-2018,NULL,NULL,Manchester United,Sevilla,1-2,2-1,Old Trafford,Manchester,Inglaterra,NULL,NULL,Jose Mourinho,Vincenzo Montella,NULL,NULL,38,17,21,9,3,6,NULL,NULL,NULL,NULL,NULL,51%,49%,19,9,10,8,5,3
2017-2018,Cuartos,Ida,03-04-2018,NULL,NULL,Juventus,Real Madrid,0-3,3-4,Allianz Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Zinedine Zidane,NULL,NULL,26,12,14,7,2,5,NULL,NULL,NULL,NULL,NULL,44%,56%,29,13,16,11,5,6
2017-2018,Cuartos,Vuelta,11-04-2018,NULL,NULL,Real Madrid,Juventus,1-3,4-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Massimiliano Allegri,NULL,NULL,29,18,11,12,6,6,NULL,NULL,NULL,NULL,NULL,62%,38%,28,8,20,10,7,3
2017-2018,Cuartos,Ida,03-04-2018,NULL,NULL,Sevilla,Bayern Munich,1-2,1-2,Ramon Sanchez Pizjuan,Sevilla,España,NULL,NULL,Vincenzo Montella,Jupp Heynckes,NULL,NULL,23,9,14,8,4,4,NULL,NULL,NULL,NULL,NULL,42%,58%,21,12,9,9,3,6
2017-2018,Cuartos,Vuelta,11-04-2018,NULL,NULL,Bayern Munich,Sevilla,0-0,2-1,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Vincenzo Montella,NULL,NULL,29,18,11,6,6,0,NULL,NULL,NULL,NULL,NULL,50%,50%,25,13,12,10,9,1
2017-2018,Cuartos,Ida,04-04-2018,NULL,NULL,Barcelona,Roma,4-1,4-4,Camp Nou,Barcelona,España,NULL,NULL,Ernesto Valverde,Eusebio Di Francesco,NULL,NULL,31,19,12,12,9,3,NULL,NULL,NULL,NULL,NULL,59%,41%,16,8,8,17,10,7
2017-2018,Cuartos,Vuelta,10-04-2018,NULL,NULL,Roma,Barcelona,3-0,4-4,Stadio Olimpico,Roma,Italia,NULL,NULL,Eusebio Di Francesco,Ernesto Valverde,NULL,NULL,26,17,9,9,6,3,NULL,NULL,NULL,NULL,NULL,43%,57%,29,19,10,9,6,3
2017-2018,Cuartos,Ida,04-04-2018,NULL,NULL,Liverpool,Manchester City,3-0,5-1,Anfield,Liverpool,Inglaterra,NULL,NULL,Jurgen Klopp,Pep Guardiola,NULL,NULL,20,9,11,5,5,0,NULL,NULL,NULL,NULL,NULL,34%,66%,16,6,10,8,0,8
2017-2018,Cuartos,Vuelta,10-04-2018,NULL,NULL,Manchester City,Liverpool,1-2,1-5,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Pep Guardiola,Jurgen Klopp,NULL,NULL,25,20,5,6,3,3,NULL,NULL,NULL,NULL,NULL,68%,32%,12,5,7,11,9,2
2017-2018,Semifinal,Ida,24-04-2018,NULL,NULL,Liverpool,Roma,5-2,7-6,Anfield,Liverpool,Inglaterra,NULL,NULL,Jurgen Klopp,Eusebio Di Francesco,NULL,NULL,35,21,14,18,12,6,NULL,NULL,NULL,NULL,NULL,49%,51%,20,13,7,11,7,4
2017-2018,Semifinal,Vuelta,02-05-2018,NULL,NULL,Roma,Liverpool,4-2,6-7,Stadio Olimpico,Roma,Italia,NULL,NULL,Eusebio Di Francesco,Jurgen Klopp,NULL,NULL,35,24,11,11,6,5,NULL,NULL,NULL,NULL,NULL,60%,40%,24,10,14,10,7,3
2017-2018,Semifinal,Ida,25-04-2018,NULL,NULL,Bayern Munich,Real Madrid,1-2,3-4,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Zinedine Zidane,NULL,NULL,24,17,7,9,5,4,NULL,NULL,NULL,NULL,NULL,60%,40%,22,8,14,13,10,3
2017-2018,Semifinal,Vuelta,01-05-2018,NULL,NULL,Real Madrid,Bayern Munich,2-2,4-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Jupp Heynckes,NULL,NULL,31,9,22,13,3,10,NULL,NULL,NULL,NULL,NULL,40%,60%,20,10,10,17,6,11
2017-2018,Final,Final,26-05-2018,NULL,NULL,Real Madrid,Liverpool,3-1,NULL,NSC Olimpiyskiy,Kiev,Ucrania,NULL,NULL,Zinedine Zidane,Jurgen Klopp,NULL,NULL,27,14,13,7,5,2,NULL,NULL,NULL,NULL,NULL,66%,34%,23,5,18,14,9,5
2018-2019,Octavos,Ida,12-02-2019,NULL,NULL,Manchester United,PSG,0-2,3-3,Old Trafford,Manchester,Inglaterra,NULL,NULL,Ole Gunnar Solskjaer,Thomas Tuchel,NULL,NULL,22,10,12,6,1,5,NULL,NULL,NULL,NULL,NULL,44%,56%,24,17,7,8,3,5
2018-2019,Octavos,Vuelta,06-03-2019,NULL,NULL,PSG,Manchester United,1-3,3-3,Parc des Princes,Paris,Francia,NULL,NULL,Thomas Tuchel,Ole Gunnar Solskjaer,NULL,NULL,17,12,5,8,4,4,NULL,NULL,NULL,NULL,NULL,72%,28%,24,9,15,4,4,0
2018-2019,Octavos,Ida,12-02-2019,NULL,NULL,Roma,Porto,2-1,3-4,Stadio Olimpico,Roma,Italia,NULL,NULL,Eusebio Di Francesco,Sergio Conceicao,NULL,NULL,21,14,7,11,9,2,NULL,NULL,NULL,NULL,NULL,43%,57%,24,11,13,3,2,1
2018-2019,Octavos,Vuelta,06-03-2019,NULL,NULL,Porto,Roma,3-1 (AET),4-3,Estadio do Dragao,Porto,Portugal,NULL,NULL,Sergio Conceicao,Eusebio Di Francesco,NULL,NULL,46,31,15,11,9,2,NULL,NULL,NULL,NULL,NULL,59%,41%,39,19,20,18,10,8
2018-2019,Octavos,Ida,13-02-2019,NULL,NULL,Ajax,Real Madrid,1-2,3-5,Johan Cruyff Arena,Amsterdam,Paises Bajos,NULL,NULL,Erik ten Hag,Santiago Solari,NULL,NULL,32,19,13,15,7,8,NULL,NULL,NULL,NULL,NULL,50%,50%,21,10,11,5,3,2
2018-2019,Octavos,Vuelta,05-03-2019,NULL,NULL,Real Madrid,Ajax,1-4,3-5,Santiago Bernabeu,Madrid,España,NULL,NULL,Santiago Solari,Erik ten Hag,NULL,NULL,36,20,16,16,8,8,NULL,NULL,NULL,NULL,NULL,57%,43%,23,12,11,9,6,3
2018-2019,Octavos,Ida,13-02-2019,NULL,NULL,Tottenham,Borussia Dortmund,3-0,4-0,Wembley,Londres,Inglaterra,NULL,NULL,Mauricio Pochettino,Lucien Favre,NULL,NULL,21,15,6,10,5,5,NULL,NULL,NULL,NULL,NULL,53%,47%,18,13,5,7,6,1
2018-2019,Octavos,Vuelta,05-03-2019,NULL,NULL,Borussia Dortmund,Tottenham,0-1,0-4,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Lucien Favre,Mauricio Pochettino,NULL,NULL,24,19,5,8,7,1,NULL,NULL,NULL,NULL,NULL,64%,36%,7,4,3,15,10,5
2018-2019,Octavos,Ida,19-02-2019,NULL,NULL,Lyon,Barcelona,0-0,1-5,Groupama Stadium,Lyon,Francia,NULL,NULL,Bruno Genesio,Ernesto Valverde,NULL,NULL,30,5,25,7,2,5,NULL,NULL,NULL,NULL,NULL,37%,63%,24,13,11,8,2,6
2018-2019,Octavos,Vuelta,13-03-2019,NULL,NULL,Barcelona,Lyon,5-1,5-1,Camp Nou,Barcelona,España,NULL,NULL,Ernesto Valverde,Bruno Genesio,NULL,NULL,30,19,11,12,10,2,NULL,NULL,NULL,NULL,NULL,55%,45%,29,11,18,12,6,6
2018-2019,Octavos,Ida,19-02-2019,NULL,NULL,Liverpool,Bayern Munich,0-0,3-1,Anfield,Liverpool,Inglaterra,NULL,NULL,Jurgen Klopp,Niko Kovac,NULL,NULL,24,15,9,2,2,0,NULL,NULL,NULL,NULL,NULL,49%,51%,23,10,13,11,5,6
2018-2019,Octavos,Vuelta,13-03-2019,NULL,NULL,Bayern Munich,Liverpool,1-3,1-3,Allianz Arena,Munich,Alemania,NULL,NULL,Niko Kovac,Jurgen Klopp,NULL,NULL,17,7,10,8,2,6,NULL,NULL,NULL,NULL,NULL,58%,42%,21,7,14,9,2,7
2018-2019,Octavos,Ida,20-02-2019,NULL,NULL,Atletico Madrid,Juventus,2-0,2-3,Wanda Metropolitano,Madrid,España,NULL,NULL,Diego Simeone,Massimiliano Allegri,NULL,NULL,27,13,14,7,5,2,NULL,NULL,NULL,NULL,NULL,37%,63%,28,12,16,15,8,7
2018-2019,Octavos,Vuelta,12-03-2019,NULL,NULL,Juventus,Atletico Madrid,3-0,3-2,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Diego Simeone,NULL,NULL,21,16,5,4,4,0,NULL,NULL,NULL,NULL,NULL,62%,38%,29,12,17,5,5,0
2018-2019,Octavos,Ida,20-02-2019,NULL,NULL,Schalke 04,Manchester City,2-3,3-10,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Domenico Tedesco,Pep Guardiola,NULL,NULL,28,7,21,8,2,6,NULL,NULL,NULL,NULL,NULL,34%,66%,20,11,9,11,2,9
2018-2019,Octavos,Vuelta,12-03-2019,NULL,NULL,Manchester City,Schalke 04,7-0,10-2,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Pep Guardiola,Domenico Tedesco,NULL,NULL,17,15,2,12,11,1,NULL,NULL,NULL,NULL,NULL,72%,28%,17,10,7,4,3,1
2018-2019,Cuartos,Ida,09-04-2019,NULL,NULL,Liverpool,Porto,2-0,6-1,Anfield,Liverpool,Inglaterra,NULL,NULL,Jurgen Klopp,Sergio Conceicao,NULL,NULL,23,15,8,6,3,3,NULL,NULL,NULL,NULL,NULL,64%,36%,16,9,7,9,4,5
2018-2019,Cuartos,Vuelta,17-04-2019,NULL,NULL,Porto,Liverpool,1-4,1-6,Estadio do Dragao,Porto,Portugal,NULL,NULL,Sergio Conceicao,Jurgen Klopp,NULL,NULL,32,19,13,13,8,5,NULL,NULL,NULL,NULL,NULL,51%,49%,29,16,13,9,6,3
2018-2019,Cuartos,Ida,09-04-2019,NULL,NULL,Tottenham,Manchester City,1-0,4-4,Tottenham Hotspur Stadium,Londres,Inglaterra,NULL,NULL,Mauricio Pochettino,Pep Guardiola,NULL,NULL,23,13,10,6,4,2,NULL,NULL,NULL,NULL,NULL,41%,59%,19,8,11,6,3,3
2018-2019,Cuartos,Vuelta,17-04-2019,NULL,NULL,Manchester City,Tottenham,4-3,4-4,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Pep Guardiola,Mauricio Pochettino,NULL,NULL,31,20,11,15,8,7,NULL,NULL,NULL,NULL,NULL,66%,34%,20,8,12,7,4,3
2018-2019,Cuartos,Ida,10-04-2019,NULL,NULL,Ajax,Juventus,1-1,3-2,Johan Cruyff Arena,Amsterdam,Paises Bajos,NULL,NULL,Erik ten Hag,Massimiliano Allegri,NULL,NULL,26,19,7,7,6,1,NULL,NULL,NULL,NULL,NULL,61%,39%,25,15,10,7,4,3
2018-2019,Cuartos,Vuelta,16-04-2019,NULL,NULL,Juventus,Ajax,1-2,2-3,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Erik ten Hag,NULL,NULL,27,13,14,7,3,4,NULL,NULL,NULL,NULL,NULL,51%,49%,26,14,12,9,4,5
2018-2019,Cuartos,Ida,10-04-2019,NULL,NULL,Manchester United,Barcelona,0-1,0-4,Old Trafford,Manchester,Inglaterra,NULL,NULL,Ole Gunnar Solskjaer,Ernesto Valverde,NULL,NULL,16,10,6,3,0,3,NULL,NULL,NULL,NULL,NULL,34%,66%,27,16,11,6,2,4
2018-2019,Cuartos,Vuelta,16-04-2019,NULL,NULL,Barcelona,Manchester United,3-0,4-0,Camp Nou,Barcelona,España,NULL,NULL,Ernesto Valverde,Ole Gunnar Solskjaer,NULL,NULL,22,13,9,9,6,3,NULL,NULL,NULL,NULL,NULL,66%,34%,25,10,15,11,8,3
