season,fase,instancia,fecha,hora_inicio,hora_fin,local,visitante,marcador,global,estadio,ciudad,pais,arbitro_principal,arbitros_linea,entrenador_local,entrenador_visitante,planteles,puntuaciones_jugadores,tiros_totales,tiros_totales_local,tiros_totales_visitante,tiros_puerta,tiros_puerta_local,tiros_puerta_visitante,goles,asistencias,cambios,amarillas,rojas,posesion_local,posesion_visitante,faltas_total,faltas_local,faltas_visitante,corners_total,corners_local,corners_visitante
2015-2016,Octavos,Vuelta,16-03-2016,NULL,NULL,Bayern Munich,Juventus,4-2,6-4,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Massimiliano Allegri,NULL,NULL,,,,,,,Lewandowski 73'; Muller 90'; Thiago 108'; Coman 110'; Pogba 5'; Cuadrado 28',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Ida,24-02-2016,NULL,NULL,PSV,Atletico Madrid,0-0,0-0,Philips Stadion,Eindhoven,Países Bajos,NULL,NULL,Phillip Cocu,Diego Simeone,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Vuelta,15-03-2016,NULL,NULL,Atletico Madrid,PSV,0-0,0-0,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Phillip Cocu,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Ida,24-02-2016,NULL,NULL,Dynamo Kyiv,Manchester City,1-3,1-3,Olimpiyskiy Stadium,Kiev,Ucrania,NULL,NULL,Serhiy Rebrov,Manuel Pellegrini,NULL,NULL,,,,,,,Buialskiy 59'; Aguero 15'; Silva 40'; Toure 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Vuelta,15-03-2016,NULL,NULL,Manchester City,Dynamo Kyiv,0-0,3-1,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Serhiy Rebrov,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Ida,16-02-2016,NULL,NULL,Benfica,Zenit,1-0,3-1,Estadio da Luz,Lisboa,Portugal,NULL,NULL,Rui Vitoria,Andre Villas-Boas,NULL,NULL,,,,,,,Jonas 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Vuelta,09-03-2016,NULL,NULL,Zenit,Benfica,1-2,1-3,Petrovsky Stadium,San Petersburgo,Rusia,NULL,NULL,Andre Villas-Boas,Rui Vitoria,NULL,NULL,,,,,,,Hulk 69'; Gaitan 85'; Talisca 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Ida,17-02-2016,NULL,NULL,Gent,Wolfsburg,2-3,2-4,Ghelamco Arena,Ghent,Bélgica,NULL,NULL,Hein Vanhaezebrouck,Dieter Hecking,NULL,NULL,,,,,,,Kums 80'; Coulibaly 89'; Draxler 44'; 54'; Kruse 60',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Vuelta,08-03-2016,NULL,NULL,Wolfsburg,Gent,1-0,4-2,Volkswagen Arena,Wolfsburg,Alemania,NULL,NULL,Dieter Hecking,Hein Vanhaezebrouck,NULL,NULL,,,,,,,Schurrle 74',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Cuartos,Ida,05-04-2016,NULL,NULL,Barcelona,Atletico Madrid,2-1,2-3,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Diego Simeone,NULL,NULL,,,,,,,Suarez 63'; 74'; Torres 25',,NULL,NULL,Torres,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Cuartos,Vuelta,13-04-2016,NULL,NULL,Atletico Madrid,Barcelona,2-0,3-2,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Luis Enrique,NULL,NULL,,,,,,,Griezmann 36'; 88',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Cuartos,Ida,05-04-2016,NULL,NULL,Bayern Munich,Benfica,1-0,3-2,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Rui Vitoria,NULL,NULL,,,,,,,Vidal 2',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Cuartos,Vuelta,13-04-2016,NULL,NULL,Benfica,Bayern Munich,2-2,2-3,Estadio da Luz,Lisboa,Portugal,NULL,NULL,Rui Vitoria,Pep Guardiola,NULL,NULL,,,,,,,Raul Jimenez 27'; Talisca 76'; Vidal 38'; Muller 52',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Cuartos,Ida,06-04-2016,NULL,NULL,Wolfsburg,Real Madrid,2-0,2-3,Volkswagen Arena,Wolfsburg,Alemania,NULL,NULL,Dieter Hecking,Zinedine Zidane,NULL,NULL,,,,,,,Rodriguez 18'; Arnold 25',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Cuartos,Vuelta,12-04-2016,NULL,NULL,Real Madrid,Wolfsburg,3-0,3-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Dieter Hecking,NULL,NULL,,,,,,,Ronaldo 16'; 17'; 77',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Cuartos,Ida,06-04-2016,NULL,NULL,PSG,Manchester City,2-2,2-3,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Manuel Pellegrini,NULL,NULL,,,,,,,Ibrahimovic 41'; Rabiot 59'; De Bruyne 38'; Fernandinho 72',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Cuartos,Vuelta,12-04-2016,NULL,NULL,Manchester City,PSG,1-0,3-2,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Laurent Blanc,NULL,NULL,,,,,,,De Bruyne 76',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Semifinal,Ida,26-04-2016,NULL,NULL,Manchester City,Real Madrid,0-0,0-1,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Zinedine Zidane,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Semifinal,Vuelta,04-05-2016,NULL,NULL,Real Madrid,Manchester City,1-0,1-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Manuel Pellegrini,NULL,NULL,,,,,,,Bale (OG) 20',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Semifinal,Ida,27-04-2016,NULL,NULL,Atletico Madrid,Bayern Munich,1-0,2-2,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Pep Guardiola,NULL,NULL,,,,,,,Saul 11',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Semifinal,Vuelta,03-05-2016,NULL,NULL,Bayern Munich,Atletico Madrid,2-1,2-2,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Diego Simeone,NULL,NULL,,,,,,,Alaba 31'; Lewandowski 74'; Griezmann 54',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Final,Final,28-05-2016,NULL,NULL,Real Madrid,Atletico Madrid,1-1,NULL,San Siro,Milán,Italia,NULL,NULL,Zinedine Zidane,Diego Simeone,NULL,NULL,,,,,,,Ramos 15'; Carrasco 79',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Ida,14-02-2017,NULL,NULL,PSG,Barcelona,4-0,5-6,Parc des Princes,Paris,Francia,NULL,NULL,Unai Emery,Luis Enrique,NULL,NULL,,,,,,,Di Maria 18'; 55'; Draxler 40'; Cavani 72',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,08-03-2017,NULL,NULL,Barcelona,PSG,6-1,6-5,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Unai Emery,NULL,NULL,,,,,,,Suarez 3'; Kurzawa OG 40'; Messi 50'; Neymar 88'; 90'; Sergi Roberto 95'; Cavani 62',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Ida,15-02-2017,NULL,NULL,Benfica,Borussia Dortmund,1-0,1-4,Estadio da Luz,Lisboa,Portugal,NULL,NULL,Rui Vitoria,Thomas Tuchel,NULL,NULL,,,,,,,Mitroglou 48',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,08-03-2017,NULL,NULL,Borussia Dortmund,Benfica,4-0,4-1,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Thomas Tuchel,Rui Vitoria,NULL,NULL,,,,,,,Aubameyang 4'; 61'; 85'; Pulisic 59',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Ida,14-02-2017,NULL,NULL,Bayern Munich,Arsenal,5-1,10-2,Allianz Arena,Munich,Alemania,NULL,NULL,Carlo Ancelotti,Arsene Wenger,NULL,NULL,,,,,,,Robben 11'; Lewandowski 53'; Thiago 56'; 63'; Muller 88'; Sanchez 30',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,07-03-2017,NULL,NULL,Arsenal,Bayern Munich,1-5,2-10,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Carlo Ancelotti,NULL,NULL,,,,,,,Walsh 20'; Lewandowski 55'; Robben 68'; Douglas Costa 78'; Vidal 80'; 85',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Ida,15-02-2017,NULL,NULL,Real Madrid,Napoli,3-1,6-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Maurizio Sarri,NULL,NULL,,,,,,,Benzema 18'; Kroos 49'; Casemiro 54'; Insigne 8',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,07-03-2017,NULL,NULL,Napoli,Real Madrid,1-3,2-6,San Paolo,Napoles,Italia,NULL,NULL,Maurizio Sarri,Zinedine Zidane,NULL,NULL,,,,,,,Mertens 24'; Ramos 51'; 57'; Morata 91',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Ida,21-02-2017,NULL,NULL,Manchester City,Monaco,5-3,6-6,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Pep Guardiola,Leonardo Jardim,NULL,NULL,,,,,,,Sterling 26'; Aguero 58'; 71'; Stones 77'; Sane 82'; Falcao 32'; 61'; Mbappe 40',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,15-03-2017,NULL,NULL,Monaco,Manchester City,3-1,6-6,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Pep Guardiola,NULL,NULL,,,,,,,Mbappe 8'; Fabinho 29'; Bakayoko 77'; Sane 71',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Ida,21-02-2017,NULL,NULL,Bayer Leverkusen,Atletico Madrid,2-4,2-8,BayArena,Leverkusen,Alemania,NULL,NULL,Tayfun Korkut,Diego Simeone,NULL,NULL,,,,,,,Bellabi 48'; Savic OG 68'; Saul 17'; Griezmann 25'; Gameiro 59'; Torres 86',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,15-03-2017,NULL,NULL,Atletico Madrid,Bayer Leverkusen,0-0,8-2,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Tayfun Korkut,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Ida,22-02-2017,NULL,NULL,Porto,Juventus,0-2,0-3,Estadio do Dragao,Porto,Portugal,NULL,NULL,Nuno Espirito Santo,Massimiliano Allegri,NULL,NULL,,,,,,,Pjaca 72'; Alves 74',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,14-03-2017,NULL,NULL,Juventus,Porto,1-0,3-0,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Nuno Espirito Santo,NULL,NULL,,,,,,,Dybala 42',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Ida,22-02-2017,NULL,NULL,Sevilla,Leicester City,2-1,2-3,Ramon Sanchez Pizjuan,Sevilla,España,NULL,NULL,Jorge Sampaoli,Claudio Ranieri,NULL,NULL,,,,,,,Sarabia 25'; Correa 62'; Vardy 73',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Octavos,Vuelta,14-03-2017,NULL,NULL,Leicester City,Sevilla,2-0,3-2,King Power Stadium,Leicester,Inglaterra,NULL,NULL,Craig Shakespeare,Jorge Sampaoli,NULL,NULL,,,,,,,Morgan 27'; Albrighton 54',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Cuartos,Ida,11-04-2017,NULL,NULL,Juventus,Barcelona,3-0,3-0,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Luis Enrique,NULL,NULL,,,,,,,Dybala 7'; 22'; Chiellini 55',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Cuartos,Vuelta,19-04-2017,NULL,NULL,Barcelona,Juventus,0-0,0-3,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Massimiliano Allegri,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Cuartos,Ida,11-04-2017,NULL,NULL,Borussia Dortmund,Monaco,2-3,3-6,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Thomas Tuchel,Leonardo Jardim,NULL,NULL,,,,,,,Dembélé 57'; Kagawa 84'; Mbappe 19'; 79'; Bender OG 35',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Cuartos,Vuelta,19-04-2017,NULL,NULL,Monaco,Borussia Dortmund,3-1,6-3,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Thomas Tuchel,NULL,NULL,,,,,,,Mbappe 3'; Falcao 17'; Germain 81'; Reus 48',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Cuartos,Ida,12-04-2017,NULL,NULL,Atletico Madrid,Leicester City,1-0,2-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Craig Shakespeare,NULL,NULL,,,,,,,Griezmann 28',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Cuartos,Vuelta,18-04-2017,NULL,NULL,Leicester City,Atletico Madrid,1-1,1-2,King Power Stadium,Leicester,Inglaterra,NULL,NULL,Craig Shakespeare,Diego Simeone,NULL,NULL,,,,,,,Vardy 61teiger 55'; P'; Saul 26',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Cuartos,Ida,12-04-2017,NULL,NULL,Bayern Munich,Real Madrid,1-2,3-6,Allianz Arena,Munich,Alemania,NULL,NULL,Carlo Ancelotti,Zinedine Zidane,NULL,NULL,,,,,,,Vidal 25'; Ronaldo 47'; 77',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Cuartos,Vuelta,18-04-2017,NULL,NULL,Real Madrid,Bayern Munich,4-2,6-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Carlo Ancelotti,NULL,NULL,,,,,,,Ronaldo 76'; 105'; 109'; Asensio 112'; Lewandowski 53'; Ramos OG 78',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Semifinal,Ida,02-05-2017,NULL,NULL,Real Madrid,Atletico Madrid,3-0,4-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Diego Simeone,NULL,NULL,,,,,,,Ronaldo 10'; 73'; 86',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Semifinal,Vuelta,10-05-2017,NULL,NULL,Atletico Madrid,Real Madrid,2-1,2-4,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Zinedine Zidane,NULL,NULL,,,,,,,Saul 12'; Griezmann 16'; Isco 42',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Semifinal,Ida,03-05-2017,NULL,NULL,Monaco,Juventus,0-2,1-4,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Massimiliano Allegri,NULL,NULL,,,,,,,Higuain 29'; 59',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Semifinal,Vuelta,09-05-2017,NULL,NULL,Juventus,Monaco,2-1,4-1,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Leonardo Jardim,NULL,NULL,,,,,,,Mandzukic 33'; Alves 44'; Mbappe 69',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017,Final,Final,03-06-2017,NULL,NULL,Juventus,Real Madrid,1-4,NULL,Millennium Stadium,Cardiff,Gales,NULL,NULL,Massimiliano Allegri,Zinedine Zidane,NULL,NULL,,,,,,,Ronaldo 20'; 64'; Casemiro 61'; Asensio 90'; Mandzukic 27',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Ida,13-02-2018,NULL,NULL,Juventus,Tottenham,2-2,3-4,Allianz Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Mauricio Pochettino,NULL,NULL,,,,,,,Higuain 2'; 9'; Kane 35'; Eriksen 71',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Vuelta,07-03-2018,NULL,NULL,Tottenham,Juventus,1-2,4-3,Wembley,Londres,Inglaterra,NULL,NULL,Mauricio Pochettino,Massimiliano Allegri,NULL,NULL,,,,,,,Son 39'; Higuain 64'; Dybala 67',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Ida,13-02-2018,NULL,NULL,Basel,Manchester City,0-4,1-5,St. Jakob-Park,Basilea,Suiza,NULL,NULL,Raphael Wicky,Pep Guardiola,NULL,NULL,,,,,,,Gundogan 14'; 53'; Bernardo Silva 18'; Aguero 23',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Vuelta,07-03-2018,NULL,NULL,Manchester City,Basel,1-2,5-2,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Pep Guardiola,Raphael Wicky,NULL,NULL,,,,,,,Jesus 8'; Elyounoussi 17'; Lang 71',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Ida,14-02-2018,NULL,NULL,Porto,Liverpool,0-5,0-5,Estadio do Dragao,Porto,Portugal,NULL,NULL,Sergio Conceicao,Jurgen Klopp,NULL,NULL,,,,,,,Mane 25'; 53'; 85'; Salah 29'; Firmino 69',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Vuelta,06-03-2018,NULL,NULL,Liverpool,Porto,0-0,5-0,Anfield,Liverpool,Inglaterra,NULL,NULL,Jurgen Klopp,Sergio Conceicao,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Ida,14-02-2018,NULL,NULL,Real Madrid,PSG,3-1,5-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Unai Emery,NULL,NULL,,,,,,,Ronaldo 45'; 83'; Marcelo 86'; Rabiot 33',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Vuelta,06-03-2018,NULL,NULL,PSG,Real Madrid,1-2,2-5,Parc des Princes,Paris,Francia,NULL,NULL,Unai Emery,Zinedine Zidane,NULL,NULL,,,,,,,Cavani 71'; Ronaldo 51'; Casemiro 80',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Ida,20-02-2018,NULL,NULL,Chelsea,Barcelona,1-1,1-4,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Antonio Conte,Ernesto Valverde,NULL,NULL,,,,,,,Willian 62'; Messi 75',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Vuelta,14-03-2018,NULL,NULL,Barcelona,Chelsea,3-0,4-1,Camp Nou,Barcelona,España,NULL,NULL,Ernesto Valverde,Antonio Conte,NULL,NULL,,,,,,,Messi 3'; 63'; Dembele 20',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Ida,20-02-2018,NULL,NULL,Bayern Munich,Besiktas,5-0,8-1,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Senol Gunes,NULL,NULL,,,,,,,Muller 43'; 66'; Coman 53'; Lewandowski 79'; 88',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Vuelta,14-03-2018,NULL,NULL,Besiktas,Bayern Munich,1-3,1-8,Vodafone Park,Estambul,Turquia,NULL,NULL,Senol Gunes,Jupp Heynckes,NULL,NULL,,,,,,,Vagner Love 59'; Thiago 18'; Gonalons OG 46'; Wagner 84',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Ida,21-02-2018,NULL,NULL,Shakhtar,Roma,2-1,2-2,Metalist Stadium,Kharkiv,Ucrania,NULL,NULL,Paulo Fonseca,Eusebio Di Francesco,NULL,NULL,,,,,,,Ferreyra 52'; Fred 71'; Under 41',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Vuelta,13-03-2018,NULL,NULL,Roma,Shakhtar,1-0,2-2,Stadio Olimpico,Roma,Italia,NULL,NULL,Eusebio Di Francesco,Paulo Fonseca,NULL,NULL,,,,,,,Dzeko 52',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Ida,21-02-2018,NULL,NULL,Sevilla,Manchester United,0-0,1-2,Ramon Sanchez Pizjuan,Sevilla,España,NULL,NULL,Vincenzo Montella,Jose Mourinho,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Octavos,Vuelta,13-03-2018,NULL,NULL,Manchester United,Sevilla,1-2,2-1,Old Trafford,Manchester,Inglaterra,NULL,NULL,Jose Mourinho,Vincenzo Montella,NULL,NULL,,,,,,,Ben Yedder 74'; 78'; Lukaku 84',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Cuartos,Ida,03-04-2018,NULL,NULL,Juventus,Real Madrid,0-3,3-4,Allianz Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Zinedine Zidane,NULL,NULL,,,,,,,Ronaldo 3'; 64'; Marcelo 72',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Cuartos,Vuelta,11-04-2018,NULL,NULL,Real Madrid,Juventus,1-3,4-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Massimiliano Allegri,NULL,NULL,,,,,,,Ronaldo 90'; Mandzukic 2'; 37'; Matuidi 61',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Cuartos,Ida,03-04-2018,NULL,NULL,Sevilla,Bayern Munich,1-2,1-2,Ramon Sanchez Pizjuan,Sevilla,España,NULL,NULL,Vincenzo Montella,Jupp Heynckes,NULL,NULL,,,,,,,Sarabia 32'; Navas OG 37'; Thiago 68',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Cuartos,Vuelta,11-04-2018,NULL,NULL,Bayern Munich,Sevilla,0-0,2-1,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Vincenzo Montella,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Cuartos,Ida,04-04-2018,NULL,NULL,Barcelona,Roma,4-1,4-4,Camp Nou,Barcelona,España,NULL,NULL,Ernesto Valverde,Eusebio Di Francesco,NULL,NULL,,,,,,,De Rossi OG 38'; Manolas OG 55'; Pique 59'; Suarez 87'; Dzeko 80',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Cuartos,Vuelta,10-04-2018,NULL,NULL,Roma,Barcelona,3-0,4-4,Stadio Olimpico,Roma,Italia,NULL,NULL,Eusebio Di Francesco,Ernesto Valverde,NULL,NULL,,,,,,,Dzeko 6'; De Rossi 58'; Manolas 82',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Cuartos,Ida,04-04-2018,NULL,NULL,Liverpool,Manchester City,3-0,5-1,Anfield,Liverpool,Inglaterra,NULL,NULL,Jurgen Klopp,Pep Guardiola,NULL,NULL,,,,,,,Salah 12'; Oxlade-Chamberlain 21'; Mane 31',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Cuartos,Vuelta,10-04-2018,NULL,NULL,Manchester City,Liverpool,1-2,1-5,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Pep Guardiola,Jurgen Klopp,NULL,NULL,,,,,,,Jesus 2'; Salah 56'; Firmino 77',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-2018,Semifinal,Ida,24-04-2018,NULL,NULL,Liverpool,Roma,5-2,7-6,Anfield,Liverpool,Inglaterra,NULL,NULL,Jurgen Klopp,Eusebio Di Francesco,NULL,NULL,,,,,,,Salah 36'; 45'; Mane 56'; Firmino 61'; 69'; Dzeko 81'; Perotti 85',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
